,name,start_id,end_id,highway,crime_count,light_count,component,start_lat,start_lon,end_lat,end_lon,distance
134,Upper Jordan Fire Trail,760000688,33947297,track,0,0,0,37.8710776,-122.2306171,37.8706885,-122.2310635,191.71285902457979
135,Upper Jordan Fire Trail,33947297,34351247,track,0,0,0,37.8706885,-122.2310635,37.870526,-122.2323002,361.41464646285186
136,Upper Jordan Fire Trail,34351247,34351251,track,0,0,0,37.870526,-122.2323002,37.8703985,-122.2324636,66.23499055865878
137,Upper Jordan Fire Trail,34351251,760727195,track,0,0,0,37.8703985,-122.2324636,37.8704223,-122.2326931,66.7274750195261
138,Upper Jordan Fire Trail,760727195,775884762,track,0,0,0,37.8704223,-122.2326931,37.8707981,-122.2327937,140.27810070617966
139,Upper Jordan Fire Trail,775884762,34351264,track,0,0,0,37.8707981,-122.2327937,37.8708203,-122.2330834,83.90567244640322
140,Upper Jordan Fire Trail,34351264,775884769,track,0,0,0,37.8708203,-122.2330834,37.8704794,-122.2333597,147.79991698133958
141,Upper Jordan Fire Trail,775884769,775884740,track,0,0,0,37.8704794,-122.2333597,37.87031,-122.2343548,293.45726665451485
142,Upper Jordan Fire Trail,775884740,34351419,track,0,0,0,37.87031,-122.2343548,37.8700507,-122.2344674,100.10869691622064
143,Upper Jordan Fire Trail,34351419,760723676,track,0,0,0,37.8700507,-122.2344674,37.8699384,-122.2360741,464.98244653965065
144,Upper Jordan Fire Trail,760723676,33947370,track,0,0,0,37.8699384,-122.2360741,37.8697606,-122.2361921,73.30544497985409
145,Upper Jordan Fire Trail,33947370,760723610,track,0,0,0,37.8697606,-122.2361921,37.869426,-122.2363933,135.2668875878437
146,Upper Jordan Fire Trail,760723610,251225802,track,0,0,0,37.869426,-122.2363933,37.8691455,-122.23686,169.10016028341127
147,Upper Jordan Fire Trail,251225802,775884657,track,0,0,0,37.8691455,-122.23686,37.8687051,-122.2370075,166.36606301864148
148,Upper Jordan Fire Trail,775884657,33947381,track,0,0,0,37.8687051,-122.2370075,37.868668,-122.2371242,36.26768515953996
149,Upper Jordan Fire Trail,33947381,33947388,track,0,0,0,37.868668,-122.2371242,37.8688649,-122.2386141,435.47806735071663
150,Upper Jordan Fire Trail,33947388,33947401,track,0,0,0,37.8688649,-122.2386141,37.8697913,-122.2395301,429.18261227026323
151,,35706118,7949089638,path,0,0,0,37.8719349,-122.228911,37.8718767,-122.229143,70.17605078229487
152,,7949089638,301318940,path,0,0,0,37.8718767,-122.229143,37.8714828,-122.2296389,202.80857861217308
153,,33947087,33947517,track,0,0,0,37.8632325,-122.2424788,37.8631079,-122.2424917,45.65744247976459
154,,33947517,5342164960,track,0,0,0,37.8631079,-122.2424917,37.8629162,-122.2426272,80.17109744413519
155,,5342164960,35719262,track,0,0,0,37.8629162,-122.2426272,37.8620747,-122.242341,318.20984931625173
156,East West Trail,33947190,33947206,track,0,0,0,37.86779,-122.2383407,37.8676234,-122.2369275,411.90767973983793
157,East West Trail,33947206,33947477,track,0,0,0,37.8676234,-122.2369275,37.8677473,-122.2364956,132.4734687625698
158,East West Trail,33947477,33947223,track,0,0,0,37.8677473,-122.2364956,37.8683222,-122.2359418,263.7630110609857
159,East West Trail,33947223,33947233,track,0,0,0,37.8683222,-122.2359418,37.8693308,-122.2346351,526.8581710911351
160,East West Trail,33947233,33947244,track,0,0,0,37.8693308,-122.2346351,37.8696,-122.2332068,423.3172262834264
161,East West Trail,33947244,33947247,track,0,0,0,37.8696,-122.2332068,37.8695515,-122.2329021,89.60530494014348
