the_geom,t_addl,street_nam,f_addl,x,t_zip,fullname,i_strno,z,speed,y,str_nam,id,mounttype,poletype
POINT (-122.2719670331543 37.863313991338615),1999,DWIGHT,1901,564038.235879,94704,DWIGHT,2500,46.184,35,4190899.32564,MILVIA ST,285,Single Pole,SINGLE POLE
POINT (-122.27197983461107 37.863289447172505),1999,DWIGHT,1901,564037.131204,94704,DWIGHT,2500,45.794,35,4190896.59411,MILVIA ST,286,Single Pole,SINGLE POLE
POINT (-122.28112024505836 37.86228863059147),2499,SACRAMENTO,2401,563233.979346,94702,SACRAMENTO,2452,-3.839,35,4190779.32013,SACRAMENTO ST,287,Single Pole,SINGLE POLE
POINT (-122.26523077831621 37.86416442097271),2527,FULTON,2501,564630.025953,94704,FULTON,2180,48.42,25,4190998.32518,DWIGHT WAY,288,Single Pole,SINGLE POLE
POINT (-122.26515848250075 37.864167855250855),2527,FULTON,2501,564636.382516,94704,FULTON,2511,47.531,25,4190998.75692,FULTON ST,289,Single Pole,SINGLE POLE
POINT (-122.2628945070815 37.86450004574958),2399,DWIGHT,2301,564835.23214,94704,DWIGHT,2503,47.981,35,4191037.18416,ELLSWORTH ST,290,Single Pole,SINGLE POLE
POINT (-122.2607726647845 37.86474050705901),2517,DANA,2501,565021.658839,94704,DANA,2500,34.924,25,4191065.33961,DANA ST,291,Single Pole,SINGLE POLE
POINT (-122.2606424416891 37.86477344186524),2517,DANA,2501,565033.084951,94704,DANA,2501,34.36,25,4191069.08398,DANA ST,292,Single Pole,SINGLE POLE
POINT (-122.26757611033142 37.86478085218118),2099,HASTE,2001,564423.192131,94704,HASTE,2450,23.171,25,4191065.09785,SHATTUCK AVE,293,Single Pole,SINGLE POLE
POINT (-122.26772870629244 37.8647945771623),2099,HASTE,2001,564409.757472,94704,HASTE,2450,22.278,25,4191066.5159,SHATTUCK AVE,294,Single Pole,SINGLE POLE
POINT (-122.26776526427368 37.86490470902778),2099,HASTE,2001,564406.445796,94704,HASTE,2440,22.735,25,4191078.70979,SHATTUCK AVE,295,Single Pole,SINGLE POLE
POINT (-122.26726358266089 37.86408377317504),2499,SHATTUCK,2451,564451.289437,94704,SHATTUCK,2107,21.037,35,4190987.97134,DWIGHT WAY,296,Single Pole,SINGLE POLE
POINT (-122.26737671374623 37.86407514519279),2499,SHATTUCK,2451,564441.345055,94704,SHATTUCK,2107,21.448,35,4190986.93571,DWIGHT WAY,297,Single Pole,SINGLE POLE
POINT (-122.26537711021942 37.86508002234274),2499,FULTON,2425,564616.355122,94704,FULTON,2206,24.702,25,4191099.81133,HASTE ST,298,Single Pole,SINGLE POLE
POINT (-122.26520650071144 37.864315182763335),2499,FULTON,2425,564632.029965,94704,FULTON,2201,48.045,25,4191015.06908,DWIGHT WAY,299,Single Pole,SINGLE POLE
POINT (-122.25853708209546 37.86503043742054),2499,DWIGHT,2401,565218.046182,94704,DWIGHT,2482,50.208,35,4191099.06758,TELEGRAPH AVE,300,Single Pole,SINGLE POLE
POINT (-122.25845258534655 37.86425605956539),2549,TELEGRAPH,2501,565226.160491,94704,TELEGRAPH,2539,42.277,35,4191013.20773,TELEGRAPH AVE,301,Pole Mast,MASTARM POLE
POINT (-122.27216958454102 37.865148622678014),1999,CHANNING,1901,564018.831123,94704,CHANNING,1900,12.39,25,4191102.74209,CHANNING WAY,302,Single Pole,SINGLE POLE
POINT (-122.26704489776272 37.85950830929197),2733,SHATTUCK,2701,564474.510803,94705,SHATTUCK,2721,18.044,25,4190480.46717,SHATTUCK AVE,303,Single Pole,SINGLE POLE
POINT (-122.26711015718938 37.85965395440381),2733,SHATTUCK,2701,564468.643248,94705,SHATTUCK,2721,19.423,25,4190496.58221,SHATTUCK AVE,304,Single Pole,SINGLE POLE
POINT (-122.26711792576174 37.859506464666964),2733,SHATTUCK,2701,564468.088232,94705,SHATTUCK,2721,21.438,25,4190480.21147,SHATTUCK AVE,305,Single Pole,SINGLE POLE
POINT (-122.26694777991699 37.85954791048513),2733,SHATTUCK,2701,564483.019594,94705,SHATTUCK,2721,16.198,25,4190484.92793,SHATTUCK AVE,306,Pole Mast,MASTARM POLE
POINT (-122.25912666057556 37.86127012885061),2419,DERBY,2401,565169.49825,94705,DERBY,2706,37.167,25,4190681.44262,TELEGRAPH AVE,307,Pole Mast,MASTARM POLE
POINT (-122.25915675352668 37.86130669076286),2419,DERBY,2401,565166.818332,94705,DERBY,2706,37.433,25,4190685.478,TELEGRAPH AVE,308,Single Pole,SINGLE POLE
POINT (-122.25908919316642 37.86146021272111),2419,DERBY,2401,565172.626881,94704,DERBY,2650,38.51,25,4190702.55849,TELEGRAPH AVE,309,Single Pole,SINGLE POLE
POINT (-122.25914263138915 37.861420870475115),2419,DERBY,2401,565167.960723,94704,DERBY,2650,38.601,25,4190698.15634,TELEGRAPH AVE,310,Single Pole,SINGLE POLE
POINT (-122.25878804763684 37.86137415914635),2499,DERBY,2421,565199.192192,94705,DERBY,2700,35.086,25,4190693.22138,REGENT ST,311,Single Pole,SINGLE POLE
POINT (-122.25882574893075 37.861344687172405),2499,DERBY,2421,565195.901904,94705,DERBY,2700,33.4,25,4190689.9253,REGENT ST,312,Single Pole,SINGLE POLE
POINT (-122.2587500647441 37.864118830962084),2499,BLAKE,2457,565200.115719,94704,BLAKE,2556,30.031,25,4190997.77399,TELEGRAPH AVE,313,Single Pole,SINGLE POLE
POINT (-122.25873024539729 37.86405700913519),2499,BLAKE,2457,565201.912695,94704,BLAKE,2556,40.57,25,4190990.92878,TELEGRAPH AVE,314,Pole Mast,MASTARM POLE
POINT (-122.258755791663 37.86422682828899),2499,BLAKE,2457,565199.516545,94704,BLAKE,2430,35.407,25,4191009.75278,DWIGHT WAY,315,Single Pole,SINGLE POLE
POINT (-122.25870333105922 37.864243370192305),2499,BLAKE,2457,565204.116394,94704,BLAKE,2430,41.624,25,4191011.62457,DWIGHT WAY,316,Single Pole,SINGLE POLE
